year_month,card_tpbuz_nm_2,amt,cnt
202412,한식,322037899077,9452544
202412,고기요리,159673603112,3249350
202412,디저트/음료,153225994063,14330232
202412,일식/수산물,101485544133,1815717
202412,별식/퓨전요리,54897471682,2002555
202412,간이주점,48500896206,943642
202412,분식,47477898741,3229073
202412,패스트푸드,37725194249,2921530
202412,중식,34879511354,1316666
202412,양식,27606333868,630544
202501,한식,275866770535,8198385
202501,디저트/음료,133212283612,12420048
202501,고기요리,130192914222,2673019
202501,일식/수산물,78127529739,1469822
202501,별식/퓨전요리,46464063544,1651392
202501,분식,40679965645,2628864
202501,간이주점,39803758639,788036
202501,패스트푸드,34979980470,2733052
202501,중식,30758004120,1137086
202501,양식,22439412622,539983
202502,한식,266450804854,7985003
202502,디저트/음료,118318180102,11239553
202502,고기요리,115872854981,2430575
202502,일식/수산물,65442094006,1260715
202502,별식/퓨전요리,41928415958,1514939
202502,분식,37874083217,2485505
202502,간이주점,34788687359,689233
202502,패스트푸드,31752617216,2504285
202502,중식,28056050183,1073421
202502,양식,20466341432,515618
202503,한식,323238540645,9734518
202503,디저트/음료,144515384831,13930161
202503,고기요리,142263446684,2932584
202503,일식/수산물,80647173044,1551239
202503,별식/퓨전요리,48876972659,1728781
202503,분식,45617571576,2940177
202503,간이주점,41668845976,827937
202503,패스트푸드,37187792325,2998716
202503,중식,31777066992,1215487
202503,양식,23355333303,600278
202504,한식,306343209893,9563615
202504,디저트/음료,142779773684,14239824
202504,고기요리,134837971930,2870684
202504,일식/수산물,73765152614,1473361
202504,별식/퓨전요리,45911019101,1677508
202504,분식,45716029176,3006366
202504,간이주점,39104013611,802889
202504,패스트푸드,37198158958,3043706
202504,중식,29569498063,1183496
202504,양식,21115032363,580752
202505,한식,338512449407,10231384
202505,디저트/음료,153872560169,15021561
202505,고기요리,152066191833,3105092
202505,일식/수산물,83615338799,1585622
202505,분식,50481601575,3157825
202505,별식/퓨전요리,50221320582,1733815
202505,간이주점,42869929108,891219
202505,패스트푸드,39079243742,3115531
202505,중식,32115772109,1229672
202505,양식,24526053093,619103
202506,한식,307882463174,9593337
202506,디저트/음료,147715466618,15224546
202506,고기요리,138960762199,2926752
202506,일식/수산물,74260721978,1459408
202506,분식,49308223904,3053620
202506,별식/퓨전요리,45076532068,1593861
202506,간이주점,41179499637,865051
202506,패스트푸드,36804544583,2998316
202506,중식,30012857275,1185719
202506,양식,21914727238,586408
202507,한식,328465085372,10090820
202507,디저트/음료,155525864701,15991596
202507,고기요리,151596370416,3191365
202507,일식/수산물,76551260135,1502669
202507,분식,50788857238,3088764
202507,별식/퓨전요리,49776896829,1752901
202507,간이주점,43900519810,917026
202507,패스트푸드,39728246291,3183775
202507,중식,31916779394,1241386
202507,양식,23933645642,628975
202508,한식,337833866178,10437518
202508,디저트/음료,160270528233,16206778
202508,고기요리,152091717749,3175813
202508,일식/수산물,84802014224,1654184
202508,별식/퓨전요리,52646089126,1811136
202508,분식,51493065050,3079298
202508,간이주점,44024201052,927068
202508,패스트푸드,43078375747,3438126
202508,중식,32767841391,1266367
202508,양식,25317567692,646712
202509,한식,317282490147,10050854
202509,디저트/음료,148301870905,15300799
202509,고기요리,134719388843,2892779
202509,일식/수산물,78838537857,1597895
202509,별식/퓨전요리,49005311531,1804955
202509,분식,44989964306,2975339
202509,간이주점,40343218709,852492
202509,패스트푸드,39449188673,3249065
202509,중식,29774584912,1213157
202509,양식,21710986078,586089
202510,한식,329522802700,10360811
202510,디저트/음료,157716954465,15208654
202510,고기요리,140808647719,2957211
202510,일식/수산물,87275318236,1682500
202510,별식/퓨전요리,52606002644,1830958
202510,분식,46807527481,2931388
202510,간이주점,42479214648,889209
202510,패스트푸드,42062117092,3287130
202510,중식,32272475971,1244116
202510,양식,23624360438,598354
202511,한식,328383981091,10285470
202511,디저트/음료,145493441380,14189796
202511,고기요리,135462870654,2881168
202511,일식/수산물,83259531379,1643182
202511,별식/퓨전요리,50277840389,1824080
202511,분식,44098754972,2892652
202511,간이주점,40195674133,816870
202511,패스트푸드,39705113280,3148342
202511,중식,30829852696,1220917
202511,양식,23350298953,576926
